"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"2129",37821,"Total",5760,297622,8720,300528,7430,230951,190,540,1346,60,204,610,1221,620,1005,740,2501,5570,163821,1270,1364,8400,45366,880,2388,7640,21839
"2130",37821,"$1 under $25,000",2890,57960,4710,58730,3810,44980,70,300,710,0,0,60,55,60,71,80,142,1650,8895,210,72,4450,12369,260,206,4280,10689
"2131",37821,"$25,000 under $50,000",1460,78480,2180,79015,1950,65254,40,150,405,0,0,180,246,160,188,210,473,2090,38100,520,483,2130,9825,230,347,1930,5816
"2132",37821,"$50,000 under $75,000",730,60865,990,61309,900,49381,50,60,143,40,83,140,267,150,210,170,521,990,39011,310,470,980,7209,160,400,830,2693
"2133",37821,"$75,000 under $100,000",380,39875,460,40164,430,32420,0,30,88,0,0,90,215,100,148,110,396,460,28586,160,249,460,5183,90,298,370,1545
"2134",37821,"$100,000 under $200,000",260,41940,330,42284,300,30293,30,0,0,20,121,110,312,120,235,130,623,330,32972,70,90,330,6017,120,540,230,1096
"2135",37821,"$200,000 or more",40,18502,50,19026,40,8623,0,0,0,0,0,30,126,30,153,40,346,50,16257,0,0,50,4763,20,597,0,0
"2136",37825,"Total",1730,108351,2700,109466,2280,79814,210,150,330,30,159,220,488,240,431,280,1147,1880,64345,440,501,2590,15287,320,848,2300,6353
"2137",37825,"$1 under $25,000",690,16282,1280,16506,1020,12709,70,70,154,0,0,30,22,20,42,30,65,490,2927,30,12,1180,3087,90,64,1130,2616
"2138",37825,"$25,000 under $50,000",500,25519,720,25814,640,20964,50,40,63,0,0,40,64,40,52,60,126,690,12205,180,158,710,3202,80,125,630,1897
"2139",37825,"$50,000 under $75,000",300,23166,380,23358,340,18839,30,40,113,30,159,60,90,60,76,70,195,380,14413,140,204,380,2657,60,89,320,1005
"2140",37825,"$75,000 under $100,000",140,14528,170,14671,150,11129,30,0,0,0,0,30,102,40,59,40,183,170,10377,60,92,170,1914,30,42,140,555
"2141",37825,"$100,000 under $200,000",100,15288,120,15549,100,10728,30,0,0,0,0,60,210,60,121,60,343,120,11907,30,35,120,2121,60,528,80,280
"2142",37825,"$200,000 or more",0,13568,30,13568,30,5445,0,0,0,0,0,0,0,20,81,20,235,30,12516,0,0,30,2306,0,0,0,0
"2143",37826,"Total",1120,75601,1810,76416,1540,58954,130,110,277,0,0,210,421,210,206,240,702,1320,45108,300,388,1730,9824,280,813,1490,4017
"2144",37826,"$1 under $25,000",340,9386,760,9560,590,6927,30,40,107,0,0,0,0,0,0,20,34,290,1718,20,8,700,1592,70,76,650,1343
"2145",37826,"$25,000 under $50,000",320,17388,480,17571,430,14436,30,30,53,0,0,70,99,60,47,60,122,460,8258,120,112,470,2094,60,99,420,1239
"2146",37826,"$50,000 under $75,000",230,17480,280,17719,260,14019,50,20,76,0,0,50,78,50,54,50,135,280,11153,80,147,280,2005,60,167,220,698
"2147",37826,"$75,000 under $100,000",120,12888,150,12926,140,10554,0,20,41,0,0,30,67,40,41,40,137,150,9220,50,82,150,1626,30,40,120,445
"2148",37826,"$100,000 under $200,000",110,18459,140,18640,120,13018,20,0,0,0,0,60,177,60,64,70,274,140,14759,30,39,130,2507,60,431,80,292
"2149",37826,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2150",37829,"Total",490,29598,670,29814,580,23483,50,40,126,0,0,80,159,80,98,90,278,490,17836,140,168,640,4136,70,173,590,1668
"2151",37829,"$1 under $25,000",160,3778,290,3819,220,2807,20,0,0,0,0,0,0,0,0,20,35,120,716,0,0,260,703,50,36,250,570
"2152",37829,"$25,000 under $50,000",140,5911,160,5966,160,5123,0,40,126,0,0,0,0,0,0,0,0,150,2703,60,49,160,749,0,0,150,482
"2153",37829,"$50,000 under $75,000",90,6068,100,6100,90,5246,30,0,0,0,0,50,81,50,45,40,96,100,3818,40,60,100,707,0,0,90,261
"2154",37829,"$75,000 under $100,000",60,6073,70,6161,60,4725,0,0,0,0,0,0,0,0,0,0,0,70,4395,40,59,70,781,20,137,60,207
"2155",37829,"$100,000 under $200,000",40,7768,50,7768,50,5582,0,0,0,0,0,30,78,30,53,30,147,50,6204,0,0,50,1196,0,0,40,148
"2156",37829,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2157",37830,"Total",7960,857771,14050,868937,11360,565088,50,400,1347,280,1435,2510,6148,2800,8624,3040,16489,10850,611865,1900,2320,13520,130916,2840,10555,10690,27498
